"Inclut les transactions Amazon Marketplace, Expédié par Amazon et Amazon Webstore"
"Tous les montants sont en EUR, sauf mention contraire."
"Définitions :"
"Taxes collectées sur les ventes : inclut les taxes collectées auprès des acheteurs sur la vente de produits, la livraison et l'emballage."
"Frais de vente : Incluent des frais de clôture variable et des frais de référence."
"Autres frais de transaction : incluent les contestations de prélèvement, les retenues sur expédition"
"Autre : inclut les montants non-liés aux commandes. Pour de plus amples renseignements, consultez les colonnes ""Type"" et ""Description"" pour chaque commande."
"date/heure","numéro de versement","type","numéro de la commande","sku","description","quantité","Marketplace","traitement","ville d'où provient la commande","Région d'où provient la commande","code postal de la commande","Modèle de perception des taxes","ventes de produits","Taxes sur la vente des produits","crédits d'expédition","taxe sur les crédits d’expédition","crédits sur l'emballage cadeau","Taxes sur les crédits cadeaux","Rabais promotionnels","Taxes sur les remises promotionnelles","Taxes retenues sur le site de vente","frais de vente","Frais Expédié par Amazon","autres frais de transaction","autre","total"
"1 sept. 2025 22:04:52 UTC","25410875682","Commande","407-4373942-7617939","CAR20062548","Carrera Max Performance (20062548), Moderne, Multicolore","1","amazon.fr","Vendeur","Cadaujac","","33140","","61,45","0","13,95","0","0","0","0","0","0","-13,69","0","-0,28","0","61,43"
"2 sept. 2025 20:54:00 UTC","25410875682","Commande","407-9561035-9873948","REV63323","Revell Kit de modélisme M24 Chaffee","1","amazon.fr","Vendeur","Guyancourt","","78280","","16,99","0","13,95","0","0","0","0","0","0","-5,62","0","-0,11","0","25,21"
"3 sept. 2025 15:55:39 UTC","25410875682","Commande","403-0869170-0075541","CAR20062532","Nintendo Mario Kart - P-Wing","1","amazon.fr","Vendeur","Bouc bel air","","13320","","64,99","0","13,95","0","0","0","0","0","0","-15,06","0","-0,30","0","63,58"
"3 sept. 2025 18:56:20 UTC","25410875682","Commande","171-3402267-6570711","CAR20062532","Nintendo Mario Kart - P-Wing","1","amazon.fr","Vendeur","Amiens","","80000","","64,99","0","13,95","0","0","0","0","0","0","-15,06","0","-0,30","0","63,58"
"3 sept. 2025 21:37:45 UTC","25410875682","Commande","407-6984102-2156357","REV05163","Revell Maquette de sous Marin Allemand Type VII C/41 à Construire","1","amazon.fr","Vendeur","Morbier","","39400","","79,00","0","13,95","0","0","0","0","0","0","-16,87","0","-0,34","0","75,74"
"5 sept. 2025 13:34:48 UTC","25410875682","Commande","171-4619082-3662722","ITA3952","ITALERI 3952S - 1:24 Scania R730 Streamline Show Truck, modélisme, modélisme sur pied, bricolage, passe-temps, collage, kit en plastique, détaillé","1","amazon.fr","Vendeur","Saint-Nabord","","88200","","45,68","0","13,95","0","0","0","0","0","0","-10,82","0","-0,22","0","48,59"
"6 sept. 2025 14:35:10 UTC","25410875682","Commande","406-5519035-0711565","CAR20062532","Nintendo Mario Kart - P-Wing","1","amazon.fr","Vendeur","CHATILLON SUR LOIRE","","45360","","64,99","0","13,95","0","0","0","0","0","0","-15,07","0","-0,31","0","63,56"
"6 sept. 2025 16:05:51 UTC","25410875682","Commande","405-9562886-4505107","CAR20062561","Carrera - 20062561 - DShowdown à Grande Vitesse","1","amazon.fr","Vendeur","Injoux genissiat","","01200","","73,71","0","13,95","0","0","0","0","0","0","-15,92","0","-0,32","0","71,42"
"6 sept. 2025 21:56:43 UTC","25410875682","Commande","406-0956243-8545926","CAR20062532","Nintendo Mario Kart - P-Wing","1","amazon.fr","Vendeur","HUBY ST LEU","","62140","","64,99","0","13,95","0","0","0","0","0","0","-15,07","0","-0,31","0","63,56"
"6 sept. 2025 22:55:31 UTC","25410875682","Commande","171-8227070-6196334","ITA3952","ITALERI 3952S - 1:24 Scania R730 Streamline Show Truck, modélisme, modélisme sur pied, bricolage, passe-temps, collage, kit en plastique, détaillé","1","amazon.fr","Vendeur","Puget Theniers","","06260","","45,68","0","13,95","0","0","0","0","0","0","-10,81","0","-0,21","0","48,61"
"6 sept. 2025 23:03:06 UTC","25410875682","Commande","406-5383529-1469962","CAR20062491","Carrera - 20062491 Nintendo Mario Kart 8, Coloré, 58 x 10 x 40 cm","1","amazon.fr","Vendeur","Pierrefitte-sur-Seine","","93380","","65,82","0","13,95","0","0","0","0","0","0","-14,48","0","-0,29","0","65,00"
"6 sept. 2025 23:06:53 UTC","25410875682","Commande","408-0286233-2710726","CAR370503024","Carrera - Mini Mario-Copter, 370503024","1","amazon.fr","Vendeur","Bonrepos-sur-Aussonnelle","","31470","","52,99","0","13,95","0","0","0","0","0","0","-12,14","0","-0,24","0","54,56"
"6 sept. 2025 23:23:42 UTC","25410875682","Commande","405-9807366-6379542","ITA3952","ITALERI 3952S - 1:24 Scania R730 Streamline Show Truck, modélisme, modélisme sur pied, bricolage, passe-temps, collage, kit en plastique, détaillé","1","amazon.fr","Vendeur","Les Pieux","","50340","","45,68","0","13,95","0","0","0","0","0","0","-10,80","0","-0,21","0","48,62"
"9 sept. 2025 12:12:55 UTC","25410875682","Commande","171-0493754-5073139","REV05040","Revell - 5040 - Maquette - Cuirassé Bismarck -12 Ans à 99 Ans- Echelle 1:350","1","amazon.fr","Vendeur","Tarbes","","65000","","65,18","0","13,95","0","0","0","0","0","0","-14,35","0","-0,29","0","64,49"
"9 sept. 2025 12:36:25 UTC","25410875682","Commande","404-7344777-2669132","CAR20062477","Carrera - 20062477 - Disney·Pixar Cars - Neon Nights - GO!!!","1","amazon.fr","Vendeur","Issy-les-Moulineaux","","92130","","67,52","0","13,95","0","0","0","0","0","0","-14,79","0","-0,29","0","66,39"
"9 sept. 2025 15:45:04 UTC","25498232062","Commande","408-9754259-0348318","REV03986","Revell 03986 Supermarine Spitfire Mk.Iia","1","amazon.fr","Vendeur","Paris","","75017","","16,04","0","13,95","0","0","0","0","0","0","-5,45","0","-0,11","0","24,43"
"9 sept. 2025 18:09:41 UTC","25498232062","Commande","407-2296175-7608365","JC84395","Jaegerndorfer JaegerndorferJC84395 UNI-G Serfaus Fiss Ladis Set de Jeu Multicolore","1","amazon.fr","Vendeur","Paris","","75005","","187,99","0","13,95","0","0","0","0","0","0","-36,66","0","-0,74","0","164,54"
"9 sept. 2025 19:27:44 UTC","25498232062","Commande","171-5683007-0357142","CAR20062491","Carrera - 20062491 Nintendo Mario Kart 8, Coloré, 58 x 10 x 40 cm","1","amazon.fr","Vendeur","La Courneuve","","93120","","65,82","0","13,95","0","0","0","0","0","0","-14,49","0","-0,29","0","64,99"
"9 sept. 2025 20:48:36 UTC","25498232062","Commande","404-4177482-2457968","CAR20062491","Carrera - 20062491 Nintendo Mario Kart 8, Coloré, 58 x 10 x 40 cm","1","amazon.fr","Vendeur","Ste Foy Les Lyon","","69110","","65,82","0","13,95","0","0","0","0","0","0","-14,49","0","-0,30","0","64,98"
"9 sept. 2025 22:16:59 UTC","25498232062","Commande","402-6508027-6630730","ITA5602","T2M - I5602 - Italeri - Maquette Plastique à Assembler - Vedette Elco 80 - Echelle 1/35","1","amazon.fr","Vendeur","Saint-Malo","","35400","","98,27","0","13,95","0","0","0","0","0","0","-20,36","0","-0,41","0","91,45"
"10 sept. 2025 07:21:44 UTC","25498232062","Transfert","","","Sur le compte se terminant par : 796","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-2 025,19","-2 025,19"
"10 sept. 2025 12:03:15 UTC","25498232062","Commande","407-2578605-4889142","ITA3952","ITALERI 3952S - 1:24 Scania R730 Streamline Show Truck, modélisme, modélisme sur pied, bricolage, passe-temps, collage, kit en plastique, détaillé","1","amazon.fr","Vendeur","SAINT JEAN DE LA MOTTE","","72510","","45,68","0","13,95","0","0","0","0","0","0","-10,81","0","-0,21","0","48,61"
"10 sept. 2025 13:31:07 UTC","25498232062","Commande","171-2194400-8766758","REV05040","Revell - 5040 - Maquette - Cuirassé Bismarck -12 Ans à 99 Ans- Echelle 1:350","1","amazon.fr","Vendeur","MONTPON MENESTEROL","","24700","","65,18","0","13,95","0","0","0","0","0","0","-14,36","0","-0,29","0","64,48"
"10 sept. 2025 21:50:54 UTC","25498232062","Commande","405-7083758-0930754","CAR20062561","Carrera - 20062561 - DShowdown à Grande Vitesse","1","amazon.fr","Vendeur","Injoux genissiat","","01200","","73,71","0","13,95","0","0","0","0","0","0","-15,92","0","-0,32","0","71,42"
"10 sept. 2025 22:16:41 UTC","25498232062","Commande","171-3369444-6692357","CAR20062532","Nintendo Mario Kart - P-Wing","1","amazon.fr","Vendeur","Mentque-Nortbécourt","","62890","","64,99","0","13,95","0","0","0","0","0","0","-15,06","0","-0,30","0","63,58"
"10 sept. 2025 23:00:08 UTC","25498232062","Commande","406-3675120-1391541","CAR370200996X","Carrera - 370200996X RC Mario Kart, Mario - Quad 370200996X Multicolore","1","amazon.fr","Vendeur","Bonneville","","74130","","31,70","0","13,95","0","0","0","0","0","0","-8,28","0","-0,17","0","37,20"
"10 sept. 2025 23:23:08 UTC","25498232062","Commande","402-9762880-1300332","MOL703103","Molotow Stylo Liquid Chrome 4mm","1","amazon.fr","Vendeur","Gilly","","6060","","7,25","0","5,01","0","0","0","0","0","0","-2,22","0","-0,04","0","10,00"
"10 sept. 2025 23:23:08 UTC","25498232062","Commande","402-9762880-1300332","MOL703101","Molotow Marqueur à pompe liquide Chromé Pointe 1 mm","2","amazon.fr","Vendeur","Gilly","","6060","","14,46","0","10,02","0","0","0","0","0","0","-4,44","0","-0,08","0","19,96"
"10 sept. 2025 23:35:57 UTC","25498232062","Commande","408-8166089-4614754","CAR20062532","Nintendo Mario Kart - P-Wing","1","amazon.fr","Vendeur","Paris","","75016","","64,99","0","13,95","0","0","0","0","0","0","-15,07","0","-0,30","0","63,57"
"11 sept. 2025 17:06:08 UTC","25498232062","Commande","403-6382888-6301141","REV07710","Revell '79 PontiacFirebirdTrans Am","1","amazon.fr","Vendeur","GUYENCOURT SUR NOYE","","80250","","147,99","0","13,95","0","0","0","0","0","0","-29,39","0","-0,59","0","131,96"
"12 sept. 2025 17:37:25 UTC","25498232062","Commande","405-9851302-1925140","CAR370503024","Carrera - Mini Mario-Copter, 370503024","1","amazon.fr","Vendeur","Cadillac","","33410","","52,99","0","13,95","0","0","0","0","0","0","-12,15","0","-0,24","0","54,55"
"12 sept. 2025 21:32:20 UTC","25498232062","Commande","408-6273710-0182738","REV12627","Revell Monogramme 1:25 - Peterbilt 359","1","amazon.fr","Vendeur","BLOTZHEIM","","68730","","48,84","0","13,95","0","0","0","0","0","0","-11,40","0","-0,23","0","51,16"
"12 sept. 2025 21:51:17 UTC","25498232062","Commande","405-8865177-3490767","CAR370200996X","Carrera - 370200996X RC Mario Kart, Mario - Quad 370200996X Multicolore","1","amazon.fr","Vendeur","ANTIBES","","06600","","31,70","0","13,95","0","0","0","0","0","0","-8,29","0","-0,17","0","37,19"
"13 sept. 2025 13:38:37 UTC","25498232062","Commande","171-9289338-7867518","FR67238","Porsche 911 Carrera RS 2.7 Adventskalender: Porsche 911 Carrera RS 2.7 Advent Calendar","1","amazon.fr","Vendeur","LUZARCHES","","95270","","109,00","0","13,95","0","0","0","0","0","0","-23,06","0","-0,46","0","99,43"
"13 sept. 2025 17:51:12 UTC","25498232062","Commande","408-7795574-8047506","JC84491","Jaegerndorfer JaegerndorferJC84491, téléphérique électrique en Jouet","1","amazon.fr","Vendeur","Le Bois D Oingt","","69620","","369,00","0","13,95","0","0","0","0","0","0","-69,49","0","-1,39","0","312,07"
"13 sept. 2025 22:30:35 UTC","25498232062","Commande","405-3979150-0134744","CAR20062532","Nintendo Mario Kart - P-Wing","1","amazon.fr","Vendeur","Mulhouse","","68100","","64,99","0","13,95","0","0","0","0","0","0","-15,06","0","-0,30","0","63,58"
"15 sept. 2025 17:36:42 UTC","25498232062","Commande","408-9348299-4493125","REV05163","Revell Maquette de sous Marin Allemand Type VII C/41 à Construire","1","amazon.fr","Vendeur","auchel","","62260","","79,00","0","13,95","0","0","0","0","0","0","-16,87","0","-0,34","0","75,74"
"15 sept. 2025 21:50:48 UTC","25498232062","Commande","171-0629917-7964348","TAM86015","TAMIYA 86015 PS-15 Bombe de peinture métallique en polycarbonate Rouge 100 ml Pour modélisme en plastique, modélisme et accessoires de bricolage, R","1","amazon.fr","Vendeur","St Remy Sur Avre","","28380","","10,50","0","13,95","0","0","0","0","0","0","-3,86","0","-0,08","0","20,51"
"15 sept. 2025 22:14:30 UTC","25498232062","Commande","406-1115644-7547534","CAR20062491","Carrera - 20062491 Nintendo Mario Kart 8, Coloré, 58 x 10 x 40 cm","1","amazon.fr","Vendeur","Paris","","75017","","65,82","0","13,95","0","0","0","0","0","0","-14,49","0","-0,29","0","64,99"
"16 sept. 2025 18:31:05 UTC","25498232062","Commande","171-4734088-5750707","REV05694","Revell 5694 - Maquette, 5694, Noir","1","amazon.fr","Vendeur","La Chapelle blanche","","73110","","23,04","0","13,95","0","0","0","0","0","0","-6,72","0","-0,13","0","30,14"
"16 sept. 2025 21:21:48 UTC","25498232062","Commande","408-2790578-4482758","CAR370200996X","Carrera - 370200996X RC Mario Kart, Mario - Quad 370200996X Multicolore","1","amazon.fr","Vendeur","Marquette Lez Lille","","59520","","31,70","0","13,95","0","0","0","0","0","0","-8,29","0","-0,17","0","37,19"
"16 sept. 2025 21:30:38 UTC","25498232062","Commande","406-0994214-3698710","REV01040","Calendrier de l'Avent VW T2 Camper","1","amazon.fr","Vendeur","Marseille","France","13009","","29,99","0","13,95","0","0","0","0","0","0","-7,98","0","-0,16","0","35,80"
"16 sept. 2025 22:41:11 UTC","25498232062","Commande","171-9335493-9253904","VALB02991-XS","Vallejo B02991 Kit de modélisme, Multicolore","1","amazon.fr","Vendeur","ESCHAU","","67114","","20,95","0","0","0","0","0","0","0","0","-3,29","0","-0,06","0","17,60"
"16 sept. 2025 23:09:08 UTC","25498232062","Commande","405-4434250-5913914","REV05040","Revell - 5040 - Maquette - Cuirassé Bismarck -12 Ans à 99 Ans- Echelle 1:350","1","amazon.fr","Vendeur","ALBI","","81000","","65,18","0","13,95","0","0","0","0","0","0","-14,36","0","-0,29","0","64,48"
"16 sept. 2025 23:35:57 UTC","25498232062","Commande","402-4877595-0504342","MIN38009","Unbekannt Mini Art 38009 - Kit European tramcar Strass Maquette triebwagen 641 avec Crew et Passengers","1","amazon.fr","Vendeur","MONTARNAUD","","34570","","79,95","0","0","0","0","0","0","0","0","-14,50","0","-0,29","0","65,16"
"17 sept. 2025 22:12:16 UTC","25498232062","Commande","407-2745491-8556301","CAR20062491","Carrera - 20062491 Nintendo Mario Kart 8, Coloré, 58 x 10 x 40 cm","1","amazon.fr","Vendeur","Saint-Urbain","","85230","","65,82","0","13,95","0","0","0","0","0","0","-14,48","0","-0,29","0","65,00"
"19 sept. 2025 11:12:24 UTC","25498232062","Commande","408-5653098-5861119","ZVZ8062","Zvezda ZV7008 Boeing 787-8 Dreamliner","1","amazon.fr","Vendeur","Paris","","75011","","22,65","0","0","0","0","0","0","0","0","-4,12","0","-0,09","0","18,44"
"19 sept. 2025 14:34:49 UTC","25498232062","Commande","406-3677450-1262715","HEL30326","heller - Maquette Diorama Dunkerque 30326| 1:35","1","amazon.fr","Vendeur","DOULLENS","","80600","","42,95","0","0","0","0","0","0","0","0","-7,79","0","-0,15","0","35,01"
"19 sept. 2025 15:32:17 UTC","25498232062","Commande","406-0805571-2727514","TAM85029","TAMIYA - 85029 - TS29 NOIR SATINE","1","amazon.fr","Vendeur","Les Ulis","","91940","","17,21","0","0","0","0","0","0","0","0","-3,28","0","-0,07","0","13,86"
"19 sept. 2025 17:14:42 UTC","25498232062","Commande","171-4619176-9340354","REV11506","Revell Monogram 85-1506 Peterbilt T359 Classique, Multicolore","1","amazon.fr","Vendeur","flers en escrebieux","","59128","","38,95","0","0","0","0","0","0","0","0","-7,07","0","-0,15","0","31,73"
"19 sept. 2025 20:27:40 UTC","25498232062","Commande","404-2045285-0653116","TAM87038","TAMIYA ExtraThin Cement 40ml 87038 [MODELARSTWO]","1","amazon.fr","Vendeur","Amiens","","80090","","13,85","0","0","0","0","0","0","0","0","-2,18","0","-0,05","0","11,62"
"19 sept. 2025 21:01:10 UTC","25498232062","Commande","171-2291110-9206715","CAR20063026","Carrera - 20063026 First Nintendo Mario Kart - Circuit de Course électrique avec Voitures Miniatures Mario et Luigi - Jouet pour Enfants à partir de","1","amazon.fr","Vendeur","Montgeroult","","95650","","38,65","0","0","0","0","0","0","0","0","-7,02","0","-0,15","0","31,48"
"19 sept. 2025 21:04:07 UTC","25498232062","Commande","403-4658770-9566734","REV00200","Revell Puzzle 3D Tour Eiffel - 00200","1","amazon.fr","Vendeur","Witternesse","","62120","","20,05","0","0","0","0","0","0","0","0","-3,65","0","-0,08","0","16,32"
"19 sept. 2025 21:17:37 UTC","25498232062","Commande","171-5521736-9032329","MENMMS011","Meng Model Dune Atreides Ornithopter","1","amazon.fr","Vendeur","IWUY","","59141","","22,35","0","0","0","0","0","0","0","0","-4,06","0","-0,09","0","18,20"
"19 sept. 2025 22:21:18 UTC","25498232062","Commande","404-2319891-6865900","TMT09808","Trumpeter Vitrines TRU09808-316 mm x 276 mm x 136 mm, Base Noire et Couvercle Transparent","1","amazon.fr","Vendeur","BOINVILLE EN MANTOIS","","78930","","34,95","0","0","0","0","0","0","0","0","-6,34","0","-0,12","0","28,49"
"19 sept. 2025 23:19:44 UTC","25498232062","Commande","171-3954121-0753920","REV11506","Revell Monogram 85-1506 Peterbilt T359 Classique, Multicolore","1","amazon.fr","Vendeur","St Etienne","","42100","","38,95","0","0","0","0","0","0","0","0","-7,07","0","-0,15","0","31,73"
"19 sept. 2025 23:23:09 UTC","25498232062","Commande","405-3853815-2576311","ITA7406","Italeri ZUNDAPP KS 750 Motocyclette Side Car 7406, Non Verni","1","amazon.fr","Vendeur","Bethon","","51260","","59,95","0","0","0","0","0","0","0","0","-10,88","0","-0,22","0","48,85"
"19 sept. 2025 23:29:00 UTC","25498232062","Commande","404-1365988-6984353","REV01207","Bandai Revell 01207 Maquette Star Wars étoile de la Mort II et Imperial Star Destroyer","1","amazon.fr","Vendeur","marquivillers","","80500","","28,85","0","0","0","0","0","0","0","0","-5,24","0","-0,11","0","23,50"
"20 sept. 2025 07:39:08 UTC","25498232062","Commande","407-1057120-0850709","CAR20062563","Carrera - 20062563 - GT Super Challenge","1","amazon.fr","Vendeur","Dommartin-sous-Amance","","54770","","74,80","0","0","0","0","0","0","0","0","-13,57","0","-0,26","0","60,97"
"20 sept. 2025 09:27:45 UTC","25498232062","Commande","406-6610049-0397946","TAM87038","TAMIYA ExtraThin Cement 40ml 87038 [MODELARSTWO]","1","amazon.fr","Vendeur","St Nicolas","","62223","","11,62","2,33","0","0","0","0","0","0","0","-2,19","0","-0,04","0","11,72"
"20 sept. 2025 10:16:14 UTC","25498232062","Commande","402-8877594-7737934","HEL81092","Heller - 81092 - Construction Et Maquettes - Task Force ""Ravitaillement À La Mer"" - Echelle 1/400ème","1","amazon.fr","Vendeur","oullins","","69600","","70,95","0","0","0","0","0","0","0","0","-12,88","0","-0,26","0","57,81"
"20 sept. 2025 10:33:38 UTC","25498232062","Commande","407-0320452-4448333","ZVZ3635","Zvezda - ZSU-23-4 m","1","amazon.fr","Vendeur","gauchy","haut de france","02430","","32,79","6,56","0","0","0","0","0","0","0","-7,13","0","-0,14","0","32,08"
"20 sept. 2025 10:38:59 UTC","25498232062","Commande","407-8691484-0736305","TAM87038","TAMIYA ExtraThin Cement 40ml 87038 [MODELARSTWO]","1","amazon.fr","Vendeur","Boulogne-Billancourt","","92100","","13,85","0","0","0","0","0","0","0","0","-2,18","0","-0,05","0","11,62"
"20 sept. 2025 10:42:11 UTC","25498232062","Commande","402-0654160-6145157","TAM87038","TAMIYA ExtraThin Cement 40ml 87038 [MODELARSTWO]","1","amazon.fr","Vendeur","St Cyr L Ecole","","78210","","13,95","0","0","0","0","0","0","0","0","-2,19","0","-0,04","0","11,72"
"20 sept. 2025 11:02:57 UTC","25498232062","Commande","404-9977740-6326700","TAM87038","TAMIYA ExtraThin Cement 40ml 87038 [MODELARSTWO]","1","amazon.fr","Vendeur","BRIGNAIS","","69530","","13,85","0","0","0","0","0","0","0","0","-2,18","0","-0,05","0","11,62"
"20 sept. 2025 11:38:09 UTC","25498232062","Commande","171-2361610-5077965","REV67051","Revell Model Set- Maquette, 67051","1","amazon.fr","Vendeur","STRASBOURG","","67100","","28,96","5,79","0","0","0","0","0","0","0","-6,30","0","-0,12","0","28,33"
"20 sept. 2025 12:47:56 UTC","25498232062","Commande","405-0516898-0530767","UHU0048410-XS","UHU 634015 All Plast Colle pour Matière Plastique Universelle 30 g","1","amazon.fr","Vendeur","St Martin D Uriage","","38410","","17,25","0","0","0","0","0","0","0","0","-2,72","0","-0,05","0","14,48"
"20 sept. 2025 13:37:55 UTC","25498232062","Commande","404-3357033-7187518","REV05694","Revell 5694 - Maquette, 5694, Noir","1","amazon.fr","Vendeur","Serres-Castet","","64121","","45,75","0","0","0","0","0","0","0","0","-8,30","0","-0,16","0","37,29"
"20 sept. 2025 14:29:05 UTC","25498232062","Commande","407-5446725-9430709","HEL80762","Heller - 80762 - Construction Et Maquettes - Renault 4 Cv - Echelle 1/24ème","1","amazon.fr","Vendeur","Dammartin en goele","","77230","","34,55","0","0","0","0","0","0","0","0","-6,27","0","-0,13","0","28,15"
"20 sept. 2025 14:44:16 UTC","25498232062","Commande","406-4142657-4455548","CAR20062566","Carrera - 20062566 - Sonic 4,9 m","1","amazon.fr","Vendeur","La Ferte St Aubin","","45240","","78,80","0","0","0","0","0","0","0","0","-14,30","0","-0,29","0","64,21"
"20 sept. 2025 15:07:34 UTC","25498232062","Commande","407-8980751-4021147","REV03901","Revell - 03901 - Maquette - Dassault Aviation Rafale C - 12 à 99 Ans - Echelle 1:48","1","amazon.fr","Vendeur","Gallardon","","28320","","45,35","0","0","0","0","0","0","0","0","-8,23","0","-0,17","0","36,95"
"20 sept. 2025 15:32:30 UTC","25498232062","Commande","171-9543618-2059512","REV32342-XS","Revell - 32342 - Accessoire pour Maquette - Couleurs De Base 6 Pots (Noir/Blanc/Rouge/Jaune/Vert/Bleu)","1","amazon.fr","Vendeur","Saint-Dié-des-Vosges","","88100","","16,65","0","0","0","0","0","0","0","0","-3,03","0","-0,07","0","13,55"
"20 sept. 2025 15:32:30 UTC","25498232062","Commande","171-9543618-2059512","REV32340-XS","Revell - 32340 - Accessoire pour Maquette - Set Couleurs Militaires","1","amazon.fr","Vendeur","Saint-Dié-des-Vosges","","88100","","16,75","0","0","0","0","0","0","0","0","-3,04","0","-0,07","0","13,64"
"20 sept. 2025 16:41:59 UTC","25498232062","Commande","402-8229963-0858726","TAM87038","TAMIYA ExtraThin Cement 40ml 87038 [MODELARSTWO]","1","amazon.fr","Vendeur","Bourg Les Valence","","26500","","13,85","0","0","0","0","0","0","0","0","-2,18","0","-0,05","0","11,62"
"20 sept. 2025 17:41:09 UTC","25498232062","Commande","403-9187505-3086766","REV24140","RC X-Treme Boat Catamaran","1","amazon.fr","Vendeur","LE BOURGET DU LAC","","73370","","65,25","0","0","0","0","0","0","0","0","-11,85","0","-0,25","0","53,15"
"20 sept. 2025 17:56:49 UTC","25498232062","Commande","406-7811477-3240314","HEL80899","Heller - 80899 - Construction Et Maquettes - Soleil Royal - Echelle 1/100ème","1","amazon.fr","Vendeur","Notre Dame De Gravenchon","","76330","","207,52","0","0","0","0","0","0","0","0","-37,67","0","-0,76","0","169,09"
"20 sept. 2025 18:54:38 UTC","25498232062","Commande","407-3860841-3096309","JC84493","Jaegerndorfer Gipfelbahn Profiset Câble électrique à l'échelle 1/32 Bleu/Gris, JaegerndorferJC84493, Multicolore, 123","1","amazon.fr","Vendeur","Chenac St Seurin D Uzet","","17120","","304,17","60,83","0","0","0","0","0","0","0","-66,24","0","-1,33","0","297,43"
"20 sept. 2025 20:06:12 UTC","25498232062","Commande","408-1799472-0429156","TAM87038","TAMIYA ExtraThin Cement 40ml 87038 [MODELARSTWO]","1","amazon.fr","Vendeur","GIF SUR YVETTE","","91190","","13,95","0","0","0","0","0","0","0","0","-2,19","0","-0,04","0","11,72"
"20 sept. 2025 20:16:59 UTC","25498232062","Commande","171-4121124-6808310","ITA3845","Italeri - I3845 - Maquette - Voiture et Camion - Semi-Remorque Benne - Echelle 1:24","2","amazon.fr","Vendeur","Roubaix","","59100","","102,10","0","0","0","0","0","0","0","0","-18,54","0","-0,38","0","83,18"
"20 sept. 2025 20:25:11 UTC","25498232062","Commande","171-9545995-7020315","REV39604b-XS","Revell - 29604 - Accessoire Maquette - Colle - Contacta Aiguille Prof","1","amazon.fr","Vendeur","Nantes","","44100","","11,76","0","0","0","0","0","0","0","0","-1,86","0","-0,04","0","9,86"
"20 sept. 2025 20:43:50 UTC","25498232062","Commande","404-6222891-5664318","JC50090-XS","Jaegerndorfer Jaegerndorferjc50090 Corde de 10 m avec connecteurs","1","amazon.fr","Vendeur","Velizy Villacoublay","","78140","","27,95","0","0","0","0","0","0","0","0","-5,07","0","-0,10","0","22,78"
"20 sept. 2025 21:10:18 UTC","25498232062","Commande","402-9675983-8805117","REV03780","Revell 03780 Boeing 747-400 Iron Maiden Ed Force One Kit de maquette en plastique non construit/non peint à l'échelle 1:144","1","amazon.fr","Vendeur","QUINCY VOISINS","","77860","","32,95","0","0","0","0","0","0","0","0","-5,97","0","-0,12","0","26,86"
"20 sept. 2025 21:20:03 UTC","25498232062","Commande","407-4739475-7000305","ITA3883","Italeri - I3883 - Scania R730 V8 - Impérial","1","amazon.fr","Vendeur","St Front De Pradoux","","24400","","78,95","0","0","0","0","0","0","0","0","-14,32","0","-0,29","0","64,34"
"20 sept. 2025 21:23:55 UTC","25498232062","Commande","402-3705089-9925922","TAM87038","TAMIYA ExtraThin Cement 40ml 87038 [MODELARSTWO]","1","amazon.fr","Vendeur","DIJON","FRANCE","21000","","13,75","0","0","0","0","0","0","0","0","-2,17","0","-0,05","0","11,53"
"20 sept. 2025 21:31:28 UTC","25498232062","Commande","408-2225720-5440357","TAK2184","TAKOM - Maquette Blindé Sd.kfz. 250/1 |takom|2184| 1:35 Maquette Char Promo","1","amazon.fr","Vendeur","CAEN","","14000","","49,95","0","0","0","0","0","0","0","0","-9,07","0","-0,19","0","40,69"
"20 sept. 2025 21:35:22 UTC","25498232062","Commande","405-6599148-6353105","CAR20062574","Carrera - 20062574 - F1 Heroes Showdown","1","amazon.fr","Vendeur","Feillens","","01570","","70,75","0","0","0","0","0","0","0","0","-12,83","0","-0,25","0","57,67"
"20 sept. 2025 21:37:08 UTC","25498232062","Commande","408-3697994-6683511","TAM81031","TAMIYA 81031 X-31 Titanium Gold Brillant 23 ML Peinture de Peinture pour modélisme en Plastique, Accessoires de Bricolage, Peinture pour Le modélism","1","amazon.fr","Vendeur","Nantes","","44300","","21,95","0","0","0","0","0","0","0","0","-3,99","0","-0,09","0","17,87"
"20 sept. 2025 21:49:53 UTC","25498232062","Commande","402-1989626-1407568","CAR20062532","Nintendo Mario Kart - P-Wing","1","amazon.fr","Vendeur","Fleury Les Aubrais","","45400","","86,80","0","0","0","0","0","0","0","0","-16,48","0","-0,32","0","70,00"
"20 sept. 2025 21:57:40 UTC","25498232062","Commande","402-6843353-6185931","MCRPMA1000-XS","Modelcraft Mastic de masquage","1","amazon.fr","Vendeur","BELLICOURT","","02420","","21,95","0","0","0","0","0","0","0","0","-3,44","0","-0,07","0","18,44"
"20 sept. 2025 21:57:51 UTC","25498232062","Commande","407-4516813-2604355","REV03787","Revell 03787 Arado Ar196A-3 Seaplane Échelle 1:32 - Maquette en plastique non construit/non peint","1","amazon.fr","Vendeur","compreignac","","87140","","44,15","0","0","0","0","0","0","0","0","-8,02","0","-0,16","0","35,97"
